Unnamed: 0.1,Unnamed: 0,Date,Country,Status,AQI Value
7272,10131,2023-03-30,Andorra,Good,35
7273,10133,2023-03-30,Argentina,Good,25
7274,10134,2023-03-30,Armenia,Good,30
7275,10135,2023-03-30,Australia,Good,29
7276,10136,2023-03-30,Austria,Good,24
7277,10137,2023-03-30,Azerbaijan,Good,40
7278,10138,2023-03-30,Bangladesh,Unhealthy for Sensitive Groups,150
7279,10139,2023-03-30,Belarus,Moderate,54
7280,10140,2023-03-30,Belgium,Good,32
7281,10144,2023-03-30,Bosnia and Herzegovina,Moderate,61
7282,10145,2023-03-30,Brazil,Moderate,58
7283,10146,2023-03-30,Brunei,Good,10
7284,10147,2023-03-30,Bulgaria,Good,31
7285,10150,2023-03-30,Canada,Moderate,66
7286,10151,2023-03-30,Cape Verde,Moderate,53
7287,10155,2023-03-30,Chile,Moderate,71
7288,10156,2023-03-30,China,Very Unhealthy,273
7289,10157,2023-03-30,Colombia,Moderate,86
7290,10159,2023-03-30,Croatia,Good,28
7291,10160,2023-03-30,Cyprus,Good,44
7292,10161,2023-03-30,Czech Republic,Moderate,82
7293,10162,2023-03-30,Denmark,Good,33
7294,10163,2023-03-30,Dominican Republic,Good,19
7295,10164,2023-03-30,Ecuador,Moderate,78
7296,10167,2023-03-30,Estonia,Good,25
7297,10168,2023-03-30,Ethiopia,Unhealthy,151
7298,10169,2023-03-30,Finland,Moderate,69
7299,10170,2023-03-30,France,Moderate,62
7300,10171,2023-03-30,French Guiana,Good,33
7301,10173,2023-03-30,Georgia,Good,34
7302,10174,2023-03-30,Germany,Good,50
7303,10175,2023-03-30,Ghana,Moderate,54
7304,10177,2023-03-30,Greece,Good,39
7305,10179,2023-03-30,Guadeloupe,Good,14
7306,10181,2023-03-30,Guatemala,Moderate,53
7307,10183,2023-03-30,Hong Kong,Moderate,58
7308,10184,2023-03-30,Iceland,Good,24
7309,10185,2023-03-30,India,Unhealthy,172
7310,10186,2023-03-30,Indonesia,Moderate,66
7311,10189,2023-03-30,Ireland,Moderate,52
7312,10190,2023-03-30,Israel,Moderate,57
7313,10191,2023-03-30,Italy,Moderate,52
7314,10193,2023-03-30,Japan,Moderate,80
7315,10195,2023-03-30,Jordan,Good,23
7316,10196,2023-03-30,Kazakhstan,Unhealthy for Sensitive Groups,104
7317,10197,2023-03-30,Kenya,Moderate,77
7318,10199,2023-03-30,Kuwait,Moderate,65
7319,10200,2023-03-30,Kyrgyzstan,Moderate,90
7320,10201,2023-03-30,Laos,Unhealthy,188
7321,10202,2023-03-30,Latvia,Good,50
7322,10204,2023-03-30,Liechtenstein,Good,28
7323,10205,2023-03-30,Lithuania,Good,23
7324,10207,2023-03-30,Macao,Moderate,55
7325,10208,2023-03-30,Macedonia,Unhealthy for Sensitive Groups,105
7326,10209,2023-03-30,Madagascar,Good,37
7327,10210,2023-03-30,Malaysia,Moderate,63
7328,10211,2023-03-30,Malta,Good,30
7329,10212,2023-03-30,Martinique,Good,18
7330,10213,2023-03-30,Mexico,Unhealthy,156
7331,10214,2023-03-30,Moldova,Good,43
7332,10215,2023-03-30,Monaco,Good,23
7333,10216,2023-03-30,Mongolia,Moderate,88
7334,10217,2023-03-30,Montenegro,Moderate,62
7335,10218,2023-03-30,Myanmar,Very Unhealthy,298
7336,10219,2023-03-30,Nepal,Unhealthy,173
7337,10220,2023-03-30,Netherlands,Good,50
