,Date,Country,Status,AQI Value
4899,2022-08-19,Philippines,Moderate,83
4900,2022-08-19,Poland,Moderate,62
4901,2022-08-19,Portugal,Good,17
4904,2022-08-19,Reunion,Good,24
4905,2022-08-19,Romania,Moderate,72
4906,2022-08-19,Russia,Unhealthy for Sensitive Groups,114
4907,2022-08-19,San Marino,Good,35
4909,2022-08-19,Serbia,Moderate,69
4910,2022-08-19,Singapore,Good,48
4911,2022-08-19,Slovakia,Moderate,72
4912,2022-08-19,Slovenia,Good,36
4913,2022-08-19,South Africa,Moderate,83
4914,2022-08-19,South Korea,Moderate,80
4915,2022-08-19,Spain,Moderate,60
4916,2022-08-19,Sri Lanka,Good,44
4918,2022-08-19,Sweden,Moderate,59
4919,2022-08-19,Switzerland,Good,35
4920,2022-08-19,Taiwan,Moderate,65
4921,2022-08-19,Tajikistan,Moderate,77
4922,2022-08-19,Thailand,Unhealthy for Sensitive Groups,110
4924,2022-08-19,Trinidad and Tobago,Good,25
4925,2022-08-19,Turkey,Moderate,88
4927,2022-08-19,Uganda,Unhealthy for Sensitive Groups,142
4928,2022-08-19,Ukraine,Moderate,76
4929,2022-08-19,United Arab Emirates,Unhealthy for Sensitive Groups,130
4930,2022-08-19,United Kingdom of Great Britain and Northern Ireland,Moderate,52
4931,2022-08-19,United States of America,Moderate,87
4933,2022-08-19,Vatican,Moderate,57
4935,2022-08-19,Vietnam,Moderate,92
4939,2022-08-20,Andorra,Good,17
4941,2022-08-20,Argentina,Moderate,69
4942,2022-08-20,Armenia,Moderate,56
4943,2022-08-20,Australia,Moderate,86
4944,2022-08-20,Austria,Good,20
4945,2022-08-20,Azerbaijan,Good,26
4947,2022-08-20,Bangladesh,Unhealthy for Sensitive Groups,141
4948,2022-08-20,Belarus,Good,46
4949,2022-08-20,Belgium,Good,28
4953,2022-08-20,Bosnia and Herzegovina,Moderate,73
4954,2022-08-20,Brazil,Moderate,65
4955,2022-08-20,Brunei,Good,12
4956,2022-08-20,Bulgaria,Good,37
4959,2022-08-20,Canada,Moderate,67
4960,2022-08-20,Cape Verde,Good,49
4964,2022-08-20,Chile,Unhealthy for Sensitive Groups,114
4965,2022-08-20,China,Unhealthy for Sensitive Groups,129
4966,2022-08-20,Colombia,Moderate,68
4968,2022-08-20,Croatia,Good,30
4969,2022-08-20,Cyprus,Moderate,77
4970,2022-08-20,Czech Republic,Moderate,65
4971,2022-08-20,Denmark,Good,16
4972,2022-08-20,Dominican Republic,Good,13
4973,2022-08-20,Ecuador,Moderate,62
4976,2022-08-20,Estonia,Good,34
4977,2022-08-20,Ethiopia,Unhealthy for Sensitive Groups,129
4978,2022-08-20,Finland,Moderate,65
4979,2022-08-20,France,Good,46
4980,2022-08-20,French Guiana,Good,16
4983,2022-08-20,Georgia,Moderate,63
4984,2022-08-20,Germany,Moderate,69
4985,2022-08-20,Ghana,Moderate,85
4987,2022-08-20,Greece,Good,47
4989,2022-08-20,Guadeloupe,Good,6
4991,2022-08-20,Guatemala,Good,32
4993,2022-08-20,Hong Kong,Good,29
4995,2022-08-20,Iceland,Good,7
4996,2022-08-20,India,Unhealthy,168
4997,2022-08-20,Indonesia,Moderate,93
5000,2022-08-20,Ireland,Good,27
5001,2022-08-20,Israel,Moderate,87
5002,2022-08-20,Italy,Moderate,52
5004,2022-08-20,Japan,Moderate,78
5006,2022-08-20,Jordan,Good,34
5007,2022-08-20,Kazakhstan,Moderate,96
5008,2022-08-20,Kenya,Moderate,63
5010,2022-08-20,Kuwait,Unhealthy for Sensitive Groups,110
5011,2022-08-20,Kyrgyzstan,Moderate,99
5012,2022-08-20,Laos,Good,32
5013,2022-08-20,Latvia,Unhealthy for Sensitive Groups,139
5016,2022-08-20,Liechtenstein,Good,19
5017,2022-08-20,Lithuania,Good,28
5019,2022-08-20,Macao,Good,26
5020,2022-08-20,Macedonia,Good,47
5021,2022-08-20,Madagascar,Moderate,54
5022,2022-08-20,Malaysia,Moderate,69
5023,2022-08-20,Malta,Good,48
5024,2022-08-20,Martinique,Good,28
5025,2022-08-20,Mexico,Moderate,77
5026,2022-08-20,Moldova,Good,21
5027,2022-08-20,Monaco,Good,20
5028,2022-08-20,Mongolia,Good,37
5029,2022-08-20,Montenegro,Good,38
5030,2022-08-20,Myanmar,Moderate,51
5031,2022-08-20,Nepal,Moderate,56
5032,2022-08-20,Netherlands,Good,42
5034,2022-08-20,New Zealand,Good,16
5035,2022-08-20,Nigeria,Unhealthy for Sensitive Groups,105
5036,2022-08-20,Norway,Good,30
5037,2022-08-20,Pakistan,Moderate,91
5038,2022-08-20,Palestinian Territory,Good,49
5039,2022-08-20,Peru,Unhealthy for Sensitive Groups,116
5040,2022-08-20,Philippines,Moderate,83
5041,2022-08-20,Poland,Moderate,62
5042,2022-08-20,Portugal,Good,19
5045,2022-08-20,Reunion,Good,26
5046,2022-08-20,Romania,Moderate,67
5047,2022-08-20,Russia,Unhealthy for Sensitive Groups,134
5048,2022-08-20,San Marino,Good,37
5050,2022-08-20,Serbia,Moderate,80
5051,2022-08-20,Singapore,Moderate,58
5052,2022-08-20,Slovakia,Moderate,51
5053,2022-08-20,Slovenia,Good,34
5054,2022-08-20,South Africa,Moderate,83
5055,2022-08-20,South Korea,Moderate,68
5056,2022-08-20,Spain,Moderate,61
5057,2022-08-20,Sri Lanka,Good,47
5059,2022-08-20,Sweden,Good,36
5060,2022-08-20,Switzerland,Good,27
5061,2022-08-20,Taiwan,Moderate,62
5062,2022-08-20,Tajikistan,Moderate,66
5063,2022-08-20,Thailand,Unhealthy for Sensitive Groups,107
5065,2022-08-20,Trinidad and Tobago,Good,29
5066,2022-08-20,Turkey,Unhealthy for Sensitive Groups,113
5068,2022-08-20,Uganda,Unhealthy for Sensitive Groups,108
5069,2022-08-20,Ukraine,Moderate,77
5070,2022-08-20,United Arab Emirates,Unhealthy for Sensitive Groups,109
5071,2022-08-20,United Kingdom of Great Britain and Northern Ireland,Good,44
5072,2022-08-20,United States of America,Moderate,89
5074,2022-08-20,Vatican,Good,37
5076,2022-08-20,Vietnam,Moderate,63
5080,2022-08-21,Andorra,Good,17
5082,2022-08-21,Argentina,Moderate,61
5083,2022-08-21,Armenia,Moderate,51
5084,2022-08-21,Australia,Good,50
5085,2022-08-21,Austria,Good,23
5086,2022-08-21,Azerbaijan,Good,28
5088,2022-08-21,Bangladesh,Unhealthy for Sensitive Groups,141
5089,2022-08-21,Belarus,Good,40
5090,2022-08-21,Belgium,Good,34
5094,2022-08-21,Bosnia and Herzegovina,Moderate,58
5095,2022-08-21,Brazil,Moderate,68
5096,2022-08-21,Brunei,Good,10
5097,2022-08-21,Bulgaria,Good,36
5100,2022-08-21,Canada,Moderate,68
5101,2022-08-21,Cape Verde,Good,18
5105,2022-08-21,Chile,Unhealthy for Sensitive Groups,102
5106,2022-08-21,China,Unhealthy,153
5107,2022-08-21,Colombia,Moderate,57
5109,2022-08-21,Croatia,Good,25
5110,2022-08-21,Cyprus,Moderate,66
5111,2022-08-21,Czech Republic,Good,46
5112,2022-08-21,Denmark,Good,21
5113,2022-08-21,Dominican Republic,Good,16
5114,2022-08-21,Ecuador,Moderate,61
5117,2022-08-21,Estonia,Good,36
5118,2022-08-21,Ethiopia,Unhealthy for Sensitive Groups,147
5119,2022-08-21,Finland,Moderate,62
5120,2022-08-21,France,Good,50
5121,2022-08-21,French Guiana,Good,16
5124,2022-08-21,Georgia,Moderate,77
5125,2022-08-21,Germany,Moderate,63
5126,2022-08-21,Ghana,Moderate,88
5128,2022-08-21,Greece,Moderate,53
5130,2022-08-21,Guadeloupe,Good,11
5132,2022-08-21,Guatemala,Good,25
5134,2022-08-21,Hong Kong,Good,32
5136,2022-08-21,Iceland,Good,8
5137,2022-08-21,India,Unhealthy,162
5138,2022-08-21,Indonesia,Moderate,93
5141,2022-08-21,Ireland,Good,24
5142,2022-08-21,Israel,Moderate,96
5143,2022-08-21,Italy,Moderate,54
5145,2022-08-21,Japan,Moderate,68
5147,2022-08-21,Jordan,Good,30
5148,2022-08-21,Kazakhstan,Moderate,84
5149,2022-08-21,Kenya,Moderate,55
5151,2022-08-21,Kuwait,Unhealthy,156
5152,2022-08-21,Kyrgyzstan,Moderate,81
5153,2022-08-21,Laos,Good,19
5154,2022-08-21,Latvia,Good,25
5157,2022-08-21,Liechtenstein,Good,33
5158,2022-08-21,Lithuania,Good,33
5160,2022-08-21,Macao,Good,24
5161,2022-08-21,Macedonia,Good,47
5162,2022-08-21,Madagascar,Moderate,91
5163,2022-08-21,Malaysia,Moderate,55
5164,2022-08-21,Malta,Good,37
5165,2022-08-21,Martinique,Good,22
5166,2022-08-21,Mexico,Moderate,87
5167,2022-08-21,Moldova,Good,19
5168,2022-08-21,Monaco,Good,17
5169,2022-08-21,Mongolia,Good,45
5170,2022-08-21,Montenegro,Good,22
5171,2022-08-21,Myanmar,Good,29
5172,2022-08-21,Nepal,Moderate,56
5173,2022-08-21,Netherlands,Good,40
5175,2022-08-21,New Zealand,Good,29
5176,2022-08-21,Nigeria,Unhealthy for Sensitive Groups,105
5177,2022-08-21,Norway,Good,26
5178,2022-08-21,Pakistan,Moderate,91
5179,2022-08-21,Palestinian Territory,Moderate,51
5180,2022-08-21,Peru,Moderate,82
5181,2022-08-21,Philippines,Moderate,83
5182,2022-08-21,Poland,Good,35
5183,2022-08-21,Portugal,Good,16
5186,2022-08-21,Reunion,Good,27
5187,2022-08-21,Romania,Moderate,68
5188,2022-08-21,Russia,Unhealthy for Sensitive Groups,143
5189,2022-08-21,San Marino,Moderate,55
5191,2022-08-21,Serbia,Moderate,71
5192,2022-08-21,Singapore,Good,44
5193,2022-08-21,Slovakia,Good,32
5194,2022-08-21,Slovenia,Good,21
5195,2022-08-21,South Africa,Moderate,83
5196,2022-08-21,South Korea,Moderate,88
5197,2022-08-21,Spain,Moderate,58
5198,2022-08-21,Sri Lanka,Good,33
5200,2022-08-21,Sweden,Good,27
5201,2022-08-21,Switzerland,Good,35
5202,2022-08-21,Taiwan,Moderate,61
5203,2022-08-21,Tajikistan,Moderate,62
5204,2022-08-21,Thailand,Unhealthy for Sensitive Groups,113
5206,2022-08-21,Trinidad and Tobago,Good,27
5207,2022-08-21,Turkey,Moderate,85
5209,2022-08-21,Uganda,Unhealthy for Sensitive Groups,105
5210,2022-08-21,Ukraine,Moderate,65
5211,2022-08-21,United Arab Emirates,Unhealthy for Sensitive Groups,115
5212,2022-08-21,United Kingdom of Great Britain and Northern Ireland,Good,42
5213,2022-08-21,United States of America,Moderate,100
5215,2022-08-21,Vatican,Good,34
5217,2022-08-21,Vietnam,Good,38
5221,2022-08-22,Andorra,Good,11
5223,2022-08-22,Argentina,Moderate,58
5224,2022-08-22,Armenia,Moderate,66
5225,2022-08-22,Australia,Good,41
5226,2022-08-22,Austria,Good,20
5227,2022-08-22,Azerbaijan,Good,14
5229,2022-08-22,Bangladesh,Unhealthy for Sensitive Groups,141
5230,2022-08-22,Belarus,Good,36
5231,2022-08-22,Belgium,Good,39
5235,2022-08-22,Bosnia and Herzegovina,Moderate,51
5236,2022-08-22,Brazil,Moderate,86
5237,2022-08-22,Brunei,Good,10
5238,2022-08-22,Bulgaria,Good,32
5241,2022-08-22,Canada,Unhealthy for Sensitive Groups,127
5242,2022-08-22,Cape Verde,Good,27
5246,2022-08-22,Chile,Moderate,96
5247,2022-08-22,China,Unhealthy for Sensitive Groups,141
5248,2022-08-22,Colombia,Moderate,62
5250,2022-08-22,Croatia,Good,20
5251,2022-08-22,Cyprus,Moderate,66
5252,2022-08-22,Czech Republic,Good,42
5253,2022-08-22,Denmark,Good,35
5254,2022-08-22,Dominican Republic,Good,20
5255,2022-08-22,Ecuador,Moderate,63
5258,2022-08-22,Estonia,Good,23
5259,2022-08-22,Ethiopia,Unhealthy,179
5260,2022-08-22,Finland,Good,22
5261,2022-08-22,France,Moderate,57
5262,2022-08-22,French Guiana,Good,16
5265,2022-08-22,Georgia,Moderate,96
5266,2022-08-22,Germany,Moderate,63
5267,2022-08-22,Ghana,Moderate,87
5269,2022-08-22,Greece,Good,45
5271,2022-08-22,Guadeloupe,Good,15
5273,2022-08-22,Guatemala,Good,26
5275,2022-08-22,Hong Kong,Good,38
5277,2022-08-22,Iceland,Good,9
5278,2022-08-22,India,Unhealthy,181
5279,2022-08-22,Indonesia,Moderate,93
5282,2022-08-22,Ireland,Good,21
5283,2022-08-22,Israel,Moderate,75
5284,2022-08-22,Italy,Moderate,59
5286,2022-08-22,Japan,Moderate,82
5288,2022-08-22,Jordan,Good,31
5289,2022-08-22,Kazakhstan,Moderate,100
5290,2022-08-22,Kenya,Moderate,60
5292,2022-08-22,Kuwait,Unhealthy for Sensitive Groups,104
5293,2022-08-22,Kyrgyzstan,Moderate,77
5294,2022-08-22,Laos,Moderate,63
5295,2022-08-22,Latvia,Good,21
5298,2022-08-22,Liechtenstein,Good,44
5299,2022-08-22,Lithuania,Good,39
5301,2022-08-22,Macao,Good,42
5302,2022-08-22,Macedonia,Good,36
5303,2022-08-22,Madagascar,Moderate,70
5304,2022-08-22,Malaysia,Moderate,60
5305,2022-08-22,Malta,Good,31
5306,2022-08-22,Martinique,Good,25
5307,2022-08-22,Mexico,Moderate,92
5308,2022-08-22,Moldova,Good,15
5309,2022-08-22,Monaco,Good,20
5310,2022-08-22,Mongolia,Good,35
5311,2022-08-22,Montenegro,Good,30
5312,2022-08-22,Myanmar,Good,29
5313,2022-08-22,Nepal,Moderate,64
5314,2022-08-22,Netherlands,Good,50
5316,2022-08-22,New Zealand,Good,15
5317,2022-08-22,Nigeria,Unhealthy for Sensitive Groups,105
5318,2022-08-22,Norway,Good,20
5319,2022-08-22,Pakistan,Moderate,91
5320,2022-08-22,Palestinian Territory,Good,45
5321,2022-08-22,Peru,Moderate,80
5322,2022-08-22,Philippines,Moderate,83
5323,2022-08-22,Poland,Moderate,58
5324,2022-08-22,Portugal,Good,11
5327,2022-08-22,Reunion,Good,18
5328,2022-08-22,Romania,Moderate,86
5329,2022-08-22,Russia,Unhealthy for Sensitive Groups,122
5330,2022-08-22,San Marino,Moderate,55
5332,2022-08-22,Serbia,Moderate,69
5333,2022-08-22,Singapore,Good,42
5334,2022-08-22,Slovakia,Moderate,51
5335,2022-08-22,Slovenia,Good,22
5336,2022-08-22,South Africa,Moderate,83
5337,2022-08-22,South Korea,Moderate,90
5338,2022-08-22,Spain,Moderate,55
5339,2022-08-22,Sri Lanka,Moderate,57
5341,2022-08-22,Sweden,Good,19
5342,2022-08-22,Switzerland,Good,46
5343,2022-08-22,Taiwan,Moderate,66
5344,2022-08-22,Tajikistan,Moderate,91
5345,2022-08-22,Thailand,Moderate,86
5347,2022-08-22,Trinidad and Tobago,Good,41
5348,2022-08-22,Turkey,Unhealthy for Sensitive Groups,105
5350,2022-08-22,Uganda,Unhealthy for Sensitive Groups,137
5351,2022-08-22,Ukraine,Moderate,68
5352,2022-08-22,United Arab Emirates,Unhealthy for Sensitive Groups,149
5353,2022-08-22,United Kingdom of Great Britain and Northern Ireland,Good,40
5354,2022-08-22,United States of America,Moderate,77
5356,2022-08-22,Vatican,Good,33
5358,2022-08-22,Vietnam,Moderate,69
5362,2022-08-23,Andorra,Good,8
5364,2022-08-23,Argentina,Moderate,70
5365,2022-08-23,Armenia,Moderate,62
5366,2022-08-23,Australia,Moderate,57
5367,2022-08-23,Austria,Good,22
5368,2022-08-23,Azerbaijan,Good,10
5370,2022-08-23,Bangladesh,Unhealthy for Sensitive Groups,141
5371,2022-08-23,Belarus,Good,28
5372,2022-08-23,Belgium,Moderate,57
5376,2022-08-23,Bosnia and Herzegovina,Good,46
5377,2022-08-23,Brazil,Moderate,71
5378,2022-08-23,Brunei,Good,10
5379,2022-08-23,Bulgaria,Good,31
5382,2022-08-23,Canada,Moderate,68
5383,2022-08-23,Cape Verde,Good,11
5387,2022-08-23,Chile,Unhealthy for Sensitive Groups,148
5388,2022-08-23,China,Unhealthy for Sensitive Groups,142
5389,2022-08-23,Colombia,Moderate,93
5391,2022-08-23,Croatia,Good,14
5392,2022-08-23,Cyprus,Good,46
5393,2022-08-23,Czech Republic,Good,43
5394,2022-08-23,Denmark,Good,15
5395,2022-08-23,Dominican Republic,Good,20
5396,2022-08-23,Ecuador,Moderate,54
5399,2022-08-23,Estonia,Good,15
5400,2022-08-23,Ethiopia,Unhealthy for Sensitive Groups,114
5401,2022-08-23,Finland,Good,20
5402,2022-08-23,France,Good,46
5403,2022-08-23,French Guiana,Good,16
5406,2022-08-23,Georgia,Moderate,86
5407,2022-08-23,Germany,Good,44
5408,2022-08-23,Ghana,Moderate,67
5410,2022-08-23,Greece,Moderate,51
5412,2022-08-23,Guadeloupe,Good,10
5414,2022-08-23,Guatemala,Unhealthy for Sensitive Groups,112
5416,2022-08-23,Hong Kong,Moderate,51
5418,2022-08-23,Iceland,Good,21
5419,2022-08-23,India,Unhealthy,174
5420,2022-08-23,Indonesia,Moderate,93
5423,2022-08-23,Ireland,Good,19
5424,2022-08-23,Israel,Moderate,75
5425,2022-08-23,Italy,Moderate,60
5427,2022-08-23,Japan,Moderate,88
5429,2022-08-23,Jordan,Good,29
5430,2022-08-23,Kazakhstan,Moderate,59
5431,2022-08-23,Kenya,Unhealthy for Sensitive Groups,106
5433,2022-08-23,Kuwait,Moderate,99
5434,2022-08-23,Kyrgyzstan,Moderate,71
5435,2022-08-23,Laos,Moderate,85
5436,2022-08-23,Latvia,Good,35
5439,2022-08-23,Liechtenstein,Good,12
5440,2022-08-23,Lithuania,Good,19
5442,2022-08-23,Macao,Good,50
5443,2022-08-23,Macedonia,Good,39
5444,2022-08-23,Madagascar,Unhealthy for Sensitive Groups,123
5445,2022-08-23,Malaysia,Moderate,58
5446,2022-08-23,Malta,Good,28
5447,2022-08-23,Martinique,Good,24
5448,2022-08-23,Mexico,Moderate,85
5449,2022-08-23,Moldova,Good,21
5450,2022-08-23,Monaco,Good,20
5451,2022-08-23,Mongolia,Good,37
5452,2022-08-23,Montenegro,Good,30
5453,2022-08-23,Myanmar,Good,38
5454,2022-08-23,Nepal,Moderate,83
5455,2022-08-23,Netherlands,Moderate,54
5457,2022-08-23,New Zealand,Good,23
5458,2022-08-23,Nigeria,Unhealthy for Sensitive Groups,105
5459,2022-08-23,Norway,Good,21
5460,2022-08-23,Pakistan,Moderate,91
5461,2022-08-23,Palestinian Territory,Good,47
5462,2022-08-23,Peru,Moderate,94
5463,2022-08-23,Philippines,Moderate,83
5464,2022-08-23,Poland,Moderate,66
5465,2022-08-23,Portugal,Good,32
5468,2022-08-23,Reunion,Good,22
5469,2022-08-23,Romania,Moderate,65
5470,2022-08-23,Russia,Unhealthy for Sensitive Groups,150
5471,2022-08-23,San Marino,Good,47
5473,2022-08-23,Serbia,Moderate,73
5474,2022-08-23,Singapore,Good,39
5475,2022-08-23,Slovakia,Good,20
5476,2022-08-23,Slovenia,Good,32
5477,2022-08-23,South Africa,Moderate,83
5478,2022-08-23,South Korea,Moderate,96
5479,2022-08-23,Spain,Moderate,53
5480,2022-08-23,Sri Lanka,Good,49
5482,2022-08-23,Sweden,Good,21
5483,2022-08-23,Switzerland,Good,29
5484,2022-08-23,Taiwan,Moderate,69
5485,2022-08-23,Tajikistan,Moderate,100
5486,2022-08-23,Thailand,Unhealthy for Sensitive Groups,110
5488,2022-08-23,Trinidad and Tobago,Moderate,53
5489,2022-08-23,Turkey,Moderate,94
5491,2022-08-23,Uganda,Unhealthy for Sensitive Groups,119
5492,2022-08-23,Ukraine,Moderate,60
5493,2022-08-23,United Arab Emirates,Unhealthy for Sensitive Groups,130
5494,2022-08-23,United Kingdom of Great Britain and Northern Ireland,Moderate,55
5495,2022-08-23,United States of America,Moderate,85
5497,2022-08-23,Vatican,Good,33
5499,2022-08-23,Vietnam,Moderate,92
5503,2022-08-23,Andorra,Good,15
5505,2022-08-23,Argentina,Good,38
5506,2022-08-23,Armenia,Moderate,88
5507,2022-08-23,Australia,Good,40
5508,2022-08-23,Austria,Good,22
5509,2022-08-23,Azerbaijan,Good,14
5511,2022-08-23,Bangladesh,Unhealthy for Sensitive Groups,141
5512,2022-08-23,Belarus,Good,40
5513,2022-08-23,Belgium,Good,16
5517,2022-08-23,Bosnia and Herzegovina,Good,46
5518,2022-08-23,Brazil,Moderate,94
5519,2022-08-23,Brunei,Good,10
5520,2022-08-23,Bulgaria,Good,38
5523,2022-08-23,Canada,Moderate,73
5524,2022-08-23,Cape Verde,Good,18
5528,2022-08-23,Chile,Unhealthy for Sensitive Groups,120
5529,2022-08-23,China,Unhealthy for Sensitive Groups,137
5530,2022-08-23,Colombia,Moderate,84
5532,2022-08-23,Croatia,Good,23
5533,2022-08-23,Cyprus,Moderate,51
5534,2022-08-23,Czech Republic,Moderate,64
5535,2022-08-23,Denmark,Good,26
5536,2022-08-23,Dominican Republic,Good,15
5537,2022-08-23,Ecuador,Moderate,77
5540,2022-08-23,Estonia,Good,37
5541,2022-08-23,Ethiopia,Unhealthy,184
5542,2022-08-23,Finland,Good,31
5543,2022-08-23,France,Moderate,59
5544,2022-08-23,French Guiana,Good,21
5547,2022-08-23,Georgia,Moderate,96
5548,2022-08-23,Germany,Moderate,71
5549,2022-08-23,Ghana,Moderate,70
5551,2022-08-23,Greece,Good,47
5553,2022-08-23,Guadeloupe,Good,14
5555,2022-08-23,Guatemala,Good,36
5557,2022-08-23,Hong Kong,Moderate,85
5559,2022-08-23,Iceland,Moderate,65
5560,2022-08-23,India,Unhealthy,159
5561,2022-08-23,Indonesia,Moderate,93
5564,2022-08-23,Ireland,Good,19
5565,2022-08-23,Israel,Moderate,68
5566,2022-08-23,Italy,Moderate,54
5568,2022-08-23,Japan,Moderate,79
5570,2022-08-23,Jordan,Good,27
5571,2022-08-23,Kazakhstan,Moderate,86
5572,2022-08-23,Kenya,Moderate,83
5574,2022-08-23,Kuwait,Moderate,87
5575,2022-08-23,Kyrgyzstan,Moderate,62
5576,2022-08-23,Laos,Moderate,59
5577,2022-08-23,Latvia,Good,24
5580,2022-08-23,Liechtenstein,Good,46
5581,2022-08-23,Lithuania,Good,31
5583,2022-08-23,Macao,Moderate,61
5584,2022-08-23,Macedonia,Good,41
5585,2022-08-23,Madagascar,Moderate,57
5586,2022-08-23,Malaysia,Moderate,56
5587,2022-08-23,Malta,Good,32
5588,2022-08-23,Martinique,Good,40
5589,2022-08-23,Mexico,Moderate,75
5590,2022-08-23,Moldova,Good,26
5591,2022-08-23,Monaco,Good,21
5592,2022-08-23,Mongolia,Good,34
5593,2022-08-23,Montenegro,Good,28
5594,2022-08-23,Myanmar,Good,29
5595,2022-08-23,Nepal,Good,50
5596,2022-08-23,Netherlands,Moderate,52
5598,2022-08-23,New Zealand,Good,22
5599,2022-08-23,Nigeria,Unhealthy for Sensitive Groups,105
5600,2022-08-23,Norway,Good,22
5601,2022-08-23,Pakistan,Moderate,91
5602,2022-08-23,Palestinian Territory,Good,36
5603,2022-08-23,Peru,Unhealthy for Sensitive Groups,110
5604,2022-08-23,Philippines,Moderate,83
5605,2022-08-23,Poland,Moderate,77
5606,2022-08-23,Portugal,Good,29
5609,2022-08-23,Reunion,Good,37
5610,2022-08-23,Romania,Moderate,66
5611,2022-08-23,Russia,Unhealthy,166
5612,2022-08-23,San Marino,Good,40
5614,2022-08-23,Serbia,Moderate,69
5615,2022-08-23,Singapore,Good,49
5616,2022-08-23,Slovakia,Good,46
5617,2022-08-23,Slovenia,Good,25
5618,2022-08-23,South Africa,Moderate,83
5619,2022-08-23,South Korea,Moderate,85
5620,2022-08-23,Spain,Moderate,63
5621,2022-08-23,Sri Lanka,Good,26
5623,2022-08-23,Sweden,Good,28
5624,2022-08-23,Switzerland,Good,50
5625,2022-08-23,Taiwan,Moderate,66
5626,2022-08-23,Tajikistan,Moderate,85
5627,2022-08-23,Thailand,Unhealthy for Sensitive Groups,121
5629,2022-08-23,Trinidad and Tobago,Good,45
5630,2022-08-23,Turkey,Moderate,98
5632,2022-08-23,Uganda,Unhealthy for Sensitive Groups,130
5633,2022-08-23,Ukraine,Moderate,62
5634,2022-08-23,United Arab Emirates,Unhealthy for Sensitive Groups,114
5635,2022-08-23,United Kingdom of Great Britain and Northern Ireland,Good,47
5636,2022-08-23,United States of America,Moderate,89
5638,2022-08-23,Vatican,Good,46
5640,2022-08-23,Vietnam,Moderate,93
5644,2022-08-24,Andorra,Moderate,60
5646,2022-08-24,Argentina,Good,28
5647,2022-08-24,Armenia,Moderate,93
5648,2022-08-24,Australia,Good,27
5649,2022-08-24,Austria,Good,22
5650,2022-08-24,Azerbaijan,Good,45
5652,2022-08-24,Bangladesh,Unhealthy for Sensitive Groups,141
5653,2022-08-24,Belarus,Good,42
5654,2022-08-24,Belgium,Good,38
5658,2022-08-24,Bosnia and Herzegovina,Good,45
5659,2022-08-24,Brazil,Moderate,96
5660,2022-08-24,Brunei,Good,10
5661,2022-08-24,Bulgaria,Good,37
5664,2022-08-24,Canada,Moderate,91
5665,2022-08-24,Cape Verde,Good,44
5669,2022-08-24,Chile,Unhealthy for Sensitive Groups,134
5670,2022-08-24,China,Unhealthy for Sensitive Groups,148
5671,2022-08-24,Colombia,Moderate,72
5673,2022-08-24,Croatia,Good,23
5674,2022-08-24,Cyprus,Good,37
5675,2022-08-24,Czech Republic,Moderate,86
5676,2022-08-24,Denmark,Good,27
5677,2022-08-24,Dominican Republic,Good,20
5678,2022-08-24,Ecuador,Moderate,73
5681,2022-08-24,Estonia,Good,40
5682,2022-08-24,Ethiopia,Moderate,99
5683,2022-08-24,Finland,Good,48
5684,2022-08-24,France,Moderate,66
5685,2022-08-24,French Guiana,Good,17
5688,2022-08-24,Georgia,Moderate,63
5689,2022-08-24,Germany,Moderate,77
5690,2022-08-24,Ghana,Moderate,57
5692,2022-08-24,Greece,Good,44
5694,2022-08-24,Guadeloupe,Good,11
5696,2022-08-24,Guatemala,Good,34
5698,2022-08-24,Hong Kong,Good,25
5700,2022-08-24,Iceland,Good,14
5701,2022-08-24,India,Unhealthy,167
5702,2022-08-24,Indonesia,Moderate,93
5705,2022-08-24,Ireland,Good,18
5706,2022-08-24,Israel,Moderate,78
5707,2022-08-24,Italy,Moderate,60
5709,2022-08-24,Japan,Moderate,71
5711,2022-08-24,Jordan,Good,29
5712,2022-08-24,Kazakhstan,Moderate,85
5713,2022-08-24,Kenya,Moderate,52
5715,2022-08-24,Kuwait,Moderate,91
5716,2022-08-24,Kyrgyzstan,Moderate,86
5717,2022-08-24,Laos,Moderate,51
5718,2022-08-24,Latvia,Good,30
5721,2022-08-24,Liechtenstein,Good,47
5722,2022-08-24,Lithuania,Moderate,92
5724,2022-08-24,Macao,Moderate,55
5725,2022-08-24,Macedonia,Good,50
5726,2022-08-24,Madagascar,Good,34
5727,2022-08-24,Malaysia,Moderate,59
5728,2022-08-24,Malta,Good,31
5729,2022-08-24,Martinique,Good,14
5730,2022-08-24,Mexico,Moderate,99
5731,2022-08-24,Moldova,Good,19
5732,2022-08-24,Monaco,Good,18
5733,2022-08-24,Mongolia,Good,48
5734,2022-08-24,Montenegro,Good,39
5735,2022-08-24,Myanmar,Good,33
5736,2022-08-24,Nepal,Good,47
5737,2022-08-24,Netherlands,Moderate,66
5739,2022-08-24,New Zealand,Good,20
5740,2022-08-24,Nigeria,Unhealthy for Sensitive Groups,105
5741,2022-08-24,Norway,Good,30
5742,2022-08-24,Pakistan,Moderate,91
5743,2022-08-24,Palestinian Territory,Good,42
5744,2022-08-24,Peru,Moderate,99
5745,2022-08-24,Philippines,Moderate,83
5746,2022-08-24,Poland,Moderate,100
5747,2022-08-24,Portugal,Good,25
5750,2022-08-24,Reunion,Good,35
5751,2022-08-24,Romania,Moderate,71
5752,2022-08-24,Russia,Unhealthy,158
5753,2022-08-24,San Marino,Good,39
