Unnamed: 0.1,Unnamed: 0,Date,Country,Status,AQI Value
9595,13254,2024-06-13,Andorra,Good,10
9596,13255,2024-06-13,Argentina,Moderate,82
9597,13256,2024-06-13,Armenia,Good,43
9598,13257,2024-06-13,Australia,Moderate,58
9599,13258,2024-06-13,Austria,Good,19
9600,13259,2024-06-13,Azerbaijan,Good,49
9601,13261,2024-06-13,Bangladesh,Unhealthy for Sensitive Groups,121
9602,13262,2024-06-13,Belarus,Good,13
9603,13263,2024-06-13,Belgium,Good,48
9604,13267,2024-06-13,Bosnia and Herzegovina,Good,23
9605,13268,2024-06-13,Brazil,Unhealthy for Sensitive Groups,144
9606,13269,2024-06-13,Brunei,Good,16
9607,13270,2024-06-13,Bulgaria,Good,34
9608,13273,2024-06-13,Canada,Moderate,53
9609,13274,2024-06-13,Cape Verde,Moderate,55
9610,13277,2024-06-13,Chile,Moderate,81
9611,13278,2024-06-13,China,Unhealthy,151
9612,13279,2024-06-13,Colombia,Moderate,51
9613,13281,2024-06-13,Croatia,Good,20
9614,13282,2024-06-13,Cyprus,Moderate,57
9615,13283,2024-06-13,Czech Republic,Moderate,51
9616,13284,2024-06-13,Denmark,Good,12
9617,13285,2024-06-13,Dominican Republic,Good,23
9618,13286,2024-06-13,Ecuador,Good,40
9619,13289,2024-06-13,Estonia,Good,17
9620,13290,2024-06-13,Ethiopia,Unhealthy for Sensitive Groups,117
9621,13291,2024-06-13,Finland,Good,26
9622,13292,2024-06-13,France,Good,49
9623,13293,2024-06-13,French Guiana,Good,11
9624,13294,2024-06-13,Georgia,Good,43
9625,13295,2024-06-13,Germany,Good,38
9626,13296,2024-06-13,Ghana,Good,44
9627,13298,2024-06-13,Greece,Moderate,69
9628,13300,2024-06-13,Guadeloupe,Good,22
9629,13301,2024-06-13,Guatemala,Moderate,58
9630,13303,2024-06-13,Hong Kong,Good,46
9631,13305,2024-06-13,Iceland,Good,9
9632,13306,2024-06-13,India,Very Unhealthy,208
9633,13307,2024-06-13,Indonesia,Unhealthy for Sensitive Groups,126
9634,13310,2024-06-13,Ireland,Good,27
9635,13311,2024-06-13,Israel,Moderate,81
9636,13312,2024-06-13,Italy,Good,50
9637,13314,2024-06-13,Japan,Moderate,79
9638,13316,2024-06-13,Jordan,Good,38
9639,13317,2024-06-13,Kazakhstan,Good,40
9640,13318,2024-06-13,Kenya,Unhealthy for Sensitive Groups,109
9641,13320,2024-06-13,Kuwait,Unhealthy for Sensitive Groups,121
9642,13321,2024-06-13,Kyrgyzstan,Good,14
9643,13322,2024-06-13,Laos,Good,29
